n_trig,n_trig_UD,n_trig_LD,trig_E_tot,trig_E_max,trig_E_mean,trig_t_span,E_UD,E_LD,frac_E_UD,E_UD_max,E_LD_max,det_first,det_last,det_mismatch,both_dets,dt_firstUD_firstLD,n_unique_pix,pix_spread_max,pix_spread_rms,Ew_mean_t,earliest_E,event_class,event_id
2,1,1,365.6464080810547,261.72442626953125,182.82320404052734,6758.701368011274,103.92198181152344,261.72442626953125,0.28421442003742187,103.92198181152344,261.72442626953125,1,0,1,1,6758.701368011274,2,11.914668224084126,11.914668224084124,4837.78097849582,103.92198181152344,MISSED_PROTON,7630
4,2,2,901.7354202270508,420.1238708496094,225.4338550567627,27551.312134699103,247.4736557006836,654.2617645263672,0.2744415381158826,214.81993103027344,420.1238708496094,1,1,0,1,2093.820409621813,4,37.610272717379026,26.355086192932003,7941.413876495561,214.81993103027344,MISSED_PROTON,1164
2,1,1,196.9184741973877,170.641845703125,98.45923709869385,44.90505965828979,26.276628494262695,170.641845703125,0.133439122973924,26.276628494262695,170.641845703125,0,1,1,1,-44.90505965828979,2,0.0,0.0,5.992091777893925,170.641845703125,BS_CROSS_DET,8072
2,1,1,134.5598382949829,126.02692413330078,67.27991914749146,17652.937273037154,8.532914161682129,126.02692413330078,0.06341352865612265,8.532914161682129,126.02692413330078,0,1,1,1,-17652.937273037154,2,4.503300000000001,4.5033,1119.4350436284774,126.02692413330078,CLEAN,19475
4,1,3,1458.7547073364258,537.1395263671875,364.68867683410645,40421.979725098274,16.099647521972656,1442.6550598144531,0.01103656937043883,16.099647521972656,537.1395263671875,0,0,0,1,-14502.834576569823,4,25.967454339807745,22.85191317789388,12795.754332068445,428.32891845703125,CLEAN,1898
2,1,1,202.5186309814453,119.23925018310547,101.25931549072266,35.48901342518369,83.27938079833984,119.23925018310547,0.4112183673904544,83.27938079833984,119.23925018310547,0,1,1,1,-35.48901342518369,2,0.0,0.0,14.593734161001956,119.23925018310547,MISSED_PROTON,10070
3,1,2,2394.665952682495,2205.05419921875,798.2219842274984,28917.99059925108,26.09351921081543,2368.5724334716797,0.010896517395917195,26.09351921081543,2205.05419921875,0,1,1,1,-28917.99059925108,3,42.03112416552498,29.720492918336483,17063.011342267353,163.5182342529297,CLEAN,9704
2,1,1,387.05078315734863,361.8908386230469,193.52539157867432,41541.840305402264,25.159944534301758,361.8908386230469,0.06500424654630767,25.159944534301758,361.8908386230469,0,1,1,1,-41541.840305402264,2,0.0,0.0,2700.39602919971,361.8908386230469,CLEAN,11497
2,1,1,362.19760513305664,305.7870178222656,181.09880256652832,10295.522639479135,305.7870178222656,56.410587310791016,0.8442546651017527,305.7870178222656,56.410587310791016,0,1,1,1,-10295.522639479135,2,25.07348687802516,25.07348687802516,-1603.4796214381643,56.410587310791016,MISSED_PROTON,9227
3,2,1,226.38873291015625,127.49546813964844,75.46291097005208,60503.182011919256,145.986572265625,80.40216064453125,0.6448491070602911,127.49546813964844,80.40216064453125,0,1,1,1,-33.963655029925434,3,6.004432099707683,4.245774654877481,4960.939690752164,80.40216064453125,BS_CROSS_DET,11991
